,product_name,product_brand,expire_date,product_code
6353,coconut s.h 2569,synarome manufacturing company (pvt) ltd,,
7367,coconut scrub body wash,softsoap,,
6354,coconut spl no.1,synarome manufacturing company (pvt) ltd,,
6355,coconut star brand,synarome manufacturing company (pvt) ltd,,
6356,coconut super 555,synarome manufacturing company (pvt) ltd,,
1333,coconut tart,hazel cake house,31.05.2019,
9589,coconut water,kirkland,,
1334,coconut white coffee,coffee town sdn bhd,30.09.2019,
1335,cocopandan flavour pudding powder (serbuk puding perisa kelapa pandan),sri nona food industries sdn. bhd.,28.02.2020,
8363,coffee,illy issimo,,
6357,coffee 0810,synarome manufacturing company (pvt) ltd,,
6358,coffee 9900,synarome manufacturing company (pvt) ltd,,
1337,coffee almond,ann-lee industries (m) sdn bhd,30.09.2019,
9217,coffee bean ice cream,trader joe's,,
8832,coffee creamer,community,,
10049,coffee creamer,raley's,,
8109,coffee creamer,america's choice,,
8469,coffee creamer,key food,,
8170,coffee creamer,stop & shop,,
8424,coffee creamer,america's choice,,
7624,coffee creamer,kroger value,,
8481,coffee creamer original,america's choice,,
7538,coffee creamer original,giant,,
8961,coffee creamer original,shurfine,,
1338,coffee flavour,kientat trading sdn. bhd.,15.07.2019,
1339,coffee flavour,360horizonz sdn. bhd.,31.10.2019,
5019,coffee flavour,bell more aromatics,,
9139,coffee ice cream,365,,
1340,coffee jelly,deli artisan sdn. bhd.,28.02.2020,
1341,coffee love letter,ann-lee industries (m) sdn bhd,30.09.2019,
1342,coffee mixture (halus),lian hoe tea & coffee (m) sdn bhd,15.07.2019,
1343,coffee mixture (kasar),lian hoe tea & coffee (m) sdn bhd,15.07.2019,
5020,coffee nice,bell more aromatics,,
1344,coffee nut cookies,ann-lee industries (m) sdn bhd,30.09.2019,
1336,coffee o sachet,lian hoe tea & coffee (m) sdn bhd,15.07.2019,
1346,coffee pau,tsl bestmas manufacturing sdn bhd,31.03.2021,
1345,coffee pau,tsl bestmas manufacturing sdn bhd,,
1347,coffee sauce,sauce empire manufacturing sdn bhd,15.02.2020,
1348,coffee tino,profound pastry sdn. bhd.,30.04.2021,
7314,cogate cavity protection great regular flavor toothpaste,colgate,,
7317,cogate with whtening maxfresh with mini bread strips cool mint gel toothpaste,colgate,,
1349,coklat honey bee,ann-lee industries (m) sdn bhd,30.09.2019,
1350,cola,angel candies sdn bhd,31.10.2019,
6375,cola -p acidulant,synarome manufacturing company (pvt) ltd,,
6359,cola 51180,synarome manufacturing company (pvt) ltd,,
6360,cola 51190,synarome manufacturing company (pvt) ltd,,
5784,cola candy,ismail industries limited - candyland,,
5021,cola candy,bell more aromatics,,
6361,cola comp bl 1210 unit i&ii,synarome manufacturing company (pvt) ltd,,
6362,cola comp bl 8010,synarome manufacturing company (pvt) ltd,,
6363,cola comp bl 8020,synarome manufacturing company (pvt) ltd,,
6364,cola comp p-500,synarome manufacturing company (pvt) ltd,,
6365,cola comp syna t-3,synarome manufacturing company (pvt) ltd,,
6366,cola compd 1250,synarome manufacturing company (pvt) ltd,,
5022,cola complete,bell more aromatics,,
6367,cola complete 900,synarome manufacturing company (pvt) ltd,,
6368,cola compound american,synarome manufacturing company (pvt) ltd,,
6369,cola compound p-777,synarome manufacturing company (pvt) ltd,,
6370,cola d-28,synarome manufacturing company (pvt) ltd,,
6371,cola flavour 02760,synarome manufacturing company (pvt) ltd,,
1351,cola flavour 20508,kientat trading sdn. bhd.,15.07.2019,
6372,cola flavour 4849,synarome manufacturing company (pvt) ltd,,
6373,cola flavour 51190,synarome manufacturing company (pvt) ltd,,
6374,cola flavour bl 8060,synarome manufacturing company (pvt) ltd,,
1352,cola lollipop,kimi sweet sdn. bhd.,15.06.2019,
6376,cola p-9010,synarome manufacturing company (pvt) ltd,,
