product_name,product_brand,expire_date,product_code
Creamy Cooking Sauce,Bunge,,74182 30133
Whip Topping,Bunge,,74182 30128
100% Pure Organic Maple Syrup 1L,Kirkland Signature ,,96619 67913
Mozzarella Halal Block 200g,Oneworld Halal,,6.28E+11
Cheddar Medium Halal Block 200g,Oneworld Halal,,6.28E+11
Tex Mex Halal Shred 200g,Oneworld Halal,,6.28E+11
Mozzarella Halal Shred 200g,Oneworld Halal,,6.28E+11
Cheddar Medium Halal Shred 200g,Oneworld Halal,,6.28E+11
1% Chocolate Milk 2L,Reid's Dairy,,60485 00503
2% Buttermilk,Reid's Dairy,,60485 00604
10% Cream 1L,Reid's Dairy,,60485 00715
Shake Mix,Reid's Dairy,,60485 00164
3.25% Homogenized Milk,Reid's Dairy,,60485 00202
2% Partly Skimmed Milk 1L,Reid's Dairy,,60485 00304
1% Partly Skimmed Milk,Reid's Dairy,,60485 01102
Skim Milk 1L,Reid's Dairy,,60485 00404
Kefir Traditional 2% MF,K-Life,,32139 00014
Kefir Plain 2.5% MF,K-Life,,32139 00026
Soft Curd Cheese 0.5%,K-Life,,32139 00003
Laban / Ayran 0%MF,K-Life,,32139 00009
Kefir Black Currant 1.5% MF,K-Life,,32139 00198
Goat's Milk Cheese - Chipotle 450g,Mariposa Dairy,,28520 22613
Goat's Milk Cheese - Cranberry Crumbled 113g,Mariposa Dairy,,28520 22535
Goat's Milk Cheese - Blueberry with Cinnamon 250,Mariposa Dairy,,28520 22503
Donair Meat Loaf,Mr. Donair,,70343 06817
Goat's Milk Cheese - Apple and Cinnamon 130g,Mariposa Dairy,,28520 22607
Mango Lassi 0%MF,K-Life,,32139 00023
Goat's Milk Cheese - Feta Random (100-250g),Mariposa Dairy,,22481 22222
Goat's Milk Cheese – Plain 1Kg,Mariposa Dairy,,22481 33333
All Beef Salami-Salami Tout Boeuf,Crescent ,,78086 00021
Roast Beef-Roti De Boeuf,Crescent ,,78086 00256
Pastrami,Crescent ,,78086 00255
Chicken Koftas,Taza,,28451 50625
Goat's Milk Cheese - Feta 200g,Mariposa Dairy,,22481 22200
Goat's Milk Cheese-Garlic and Fine Herbs,Mariposa Dairy,,22481 10407
Goat's Milk Cheese-Plain,Mariposa Dairy,,22481 10704
Garlic and Fines Herbs Goats Milk Cheese,Mariposa Dairy,,22481 33420
Chicken Samosas,Taza,,96546 00021
Chicken Rolls,Taza,,96546 00025
Chicken Shami Kababs,Taza,,96546 00068
Chicken Reshmi Kababs,Taza,,96546 00066 
Pepperoni Pizza,Ahlan Foods ,,28451 38974
Black Pepper Goats Milk Cheese,Mariposa Dairy,,22481 33520
Baking Cheese 5Kg,M-C Dairy,,76241 03532
Traditional Dahi -1L,M-C Dairy,,76241 03620
Fresh Laban,M-C Dairy,,76241 03614
Kefir Regular,M-C Dairy,,76241 03253
Spinach Cheese Puff Pastries,Ahlan Foods ,,28451 38946
Cheese Puff Pastries,Ahlan Foods ,,28451 38944
Falafel (Fully cooked Vegetarian Balls),Ahlan Foods ,,28451 38942
Chicken Breast Burgers,Ahlan Foods ,,28451 38912
Mango Lassi,M-C Dairy,,76241 03580
Ayran / Laban,M-C Dairy,,76241 03604
Whey Stronger Super Serum,M-C Dairy,,76241 03269
Sour Cream 4L,M-C Dairy,,76241 03358
Goat Milk Sour Cream 14% M.F. 500ml,Hewitts,,57853 31406
